314-강의실(소)-1,n58,314,1.296959939,"126.6335526,37.3747533,126.6335428,37.3747427","126.6335526,37.3747533"
n100,n99,f3r42,4.658087212,"126.6333327,37.3744279,126.6332931,37.3744508",0
n99,n98,f3r41,3.175945813,"126.6333594,37.3744109,126.6333327,37.3744279",0
n98,n97,f3r40,0.966892222,"126.6333675,37.3744056,126.6333594,37.3744109",0
n97,n96,f3r39,2.526582427,"126.6333889,37.3743928,126.6333675,37.3744056",0
n96,n95,f3r38,4.836391765,"126.6334298,37.374368,126.6333889,37.3743928",0
n95,n94,f3r37,5.747612476,"126.6334784,37.3743385,126.6334298,37.374368",0
n94,n93,f3r36,3.243476677,"126.6335059,37.3743222,126.6334784,37.3743385",0
n93,n92,f3r35,4.497057876,"126.6335439,37.374299,126.6335059,37.3743222",0
n92,n91,f3r34,2.891377121,"126.6335684,37.3742844,126.6335439,37.374299",0
n91,n90,f3r33,4.342304864,"126.6336052,37.3742625,126.6335684,37.3742844",0
n90,n88,f3r32,4.427560929,"126.6336052,37.3742625,126.6336426,37.3742396",0
n88,n85,f3r31,7.30665467,"126.6336426,37.3742396,126.6337047,37.3742036",0
n85,n86,f3r29,1.004410722,"126.6337047,37.3742036,126.6337128,37.3741969",0
n86,n87,f3r30,9.518039683,"126.6337128,37.3741969,126.6337934,37.3741486",0
n85,n84,f3r27,2.097671301,"126.6337047,37.3742036,126.6337209,37.3742198",0
n84,n83,f3r26,3.217907178,"126.6337209,37.3742198,126.6337449,37.3742469",0
n83,n82,f3r25,3.438997119,"126.6337449,37.3742469,126.6337713,37.3742739",0
n82,n81,f3r24,3.44592891,"126.6337713,37.3742739,126.6337977,37.3743011",0
n81,n80,f3r23,3.52935028,"126.6337977,37.3743011,126.6338245,37.3743296",0
n80,n79,f3r22,3.397173085,"126.6338245,37.3743296,126.63385,37.3743578",0
n79,n78,f3r21,3.399916141,"126.63385,37.3743578,126.6338758,37.3743853",0
n78,n77,f3r20,5.680578752,"126.6338758,37.3743853,126.633919,37.374431",0
n77,n76,f3r19,4.438014363,"126.633919,37.374431,126.6339526,37.3744671",0
n74,n75,f3r17,7.768134894,"126.6340539,37.3744391,126.6339882,37.3744789",0
n73,n74,f3r16,2.037056032,"126.6339882,37.3744789,126.6339709,37.374489",0
n88,n89,f3r48,1.751261206,"126.6336426,37.3742396,126.6336296,37.3742247",0
n76,n73,f3r18,2.500417475,"126.6339526,37.3744671,126.6339709,37.374489",0
n71,n72,f3r14,2.676034395,"126.6339346,37.3745426,126.6339136,37.3745229",0
n71,n73,f3r15,6.756835215,"126.6339709,37.374489,126.6339136,37.3745229",0
n70,n71,f3r13,3.578519987,"126.6338832,37.3745406,126.6339136,37.3745229",0
n69,n70,f3r12,4.997552039,"126.6338407,37.3745651,126.6338832,37.3745406",0
n68,n69,f3r11,3.339185723,"126.6338125,37.3745824,126.6338407,37.3745651",0
n67,n68,f3r10,4.490286809,"126.6338125,37.3745824,126.6337745,37.3746053",0
n66,n67,f3r9,3.180686762,"126.6337745,37.3746053,126.6337478,37.3746225",0
n66,316-임베디드HW실습실_2,316_2,1.395803423,"126.6337478,37.3746225,126.6337585,37.3746335","126.6337585,37.3746335"
n65,n66,f3r8,5.809399892,"126.6337478,37.3746225,126.6336984,37.374651",0
n64,n65,f3r7,2.878284961,"126.6336984,37.374651,126.6336739,37.374665",0
n63,n64,f3r6,0.913514324,"126.6336739,37.374665,126.6336662,37.3746698",0
n62,n63,f3r5,3.009484028,"126.6336662,37.3746698,126.6336407,37.374685",0
n61,n62,f3r4,4.111835027,"126.6336407,37.374685,126.6336057,37.374705",0
n60,n61,f3r3,3.958806079,"126.6336057,37.374705,126.6335722,37.3747252",0
n59,n60,f3r2,1.000397675,"126.6335722,37.3747252,126.6335638,37.3747306",0
n58,n59,f3r1,2.469249839,"126.6335638,37.3747306,126.6335428,37.3747427",0
n57,n58,f3r0,5.888160435,"126.6335428,37.3747427,126.6334929,37.3747724",0
n101,n100,f3r43,2.132424666,"126.6332931,37.3744508,126.6332769,37.3744336",0
n102,407-강의실(중)-3,407_1,1.556669098,"126.6332216,37.3744958,126.6332337,37.3745076","126.6332337,37.3745076"
n103,406-강의실(소)-2,406,1.289809769,"126.6332565,37.374458,126.6332663,37.3744684","126.6332565,37.374458"
n104,405-정보기술대학원 학생회실,405,1.744664345,"126.6332773,37.3744404,126.6332908,37.3744538","126.6332773,37.3744404"
n105,407-강의실(중)-3,407_2,1.319256961,"126.6333155,37.3744559,126.6333055,37.3744452","126.6333155,37.3744559"
n106,테라스6,f4r44,2.939100692,"126.6333618,37.374449,126.6333397,37.3744247","126.6333618,37.374449"
n107,408-컴퓨터실습실-1,408_1,1.35232369,"126.6333719,37.3744229,126.6333617,37.3744118","126.6333719,37.3744229"
n108,계단입구13,f4a1,1.521823797,"126.6333607,37.374393,126.6333724,37.3744049","126.6333607,37.374393"
n109,404-기자재실,404,1.531340715,"126.6333807,37.3743808,126.6333925,37.3743927","126.633381,37.3743808"
n110,403-세미나실,403,1.446850774,"126.6334213,37.3743572,126.6334325,37.3743683","126.6334213,37.3743572"
n111,408-컴퓨터실습실-1,408_2,1.507395556,"126.633488,37.3743547,126.6334768,37.3743419","126.633488,37.3743547"
n112,402-무선정보네트워크연구실,402,1.553828513,"126.6334896,37.3743147,126.6335016,37.3743267","126.6334896,37.3743147"
n123,409-실습준비실,409,1.431612371,"126.6335606,37.3743097,126.6335499,37.3742977","126.6335606,37.3743097"
n114,401-모바일컴퓨팅연구실,401,1.530776678,"126.633562,37.3742717,126.6335739,37.3742833","126.633562,37.3742717"
